sequence_number,sequence_name,cue_number,cue_name,fixture_id,fixture_name,fixture_type,fixture_patch,dimmer,position,gobo,color,beam,focus,control,preset_refs,hard_value_count,preset_value_count
2,qju,0,Cue Zero,1001,,,,"[""H DIM=DefaultLink""]",[],[],[],[],[],[],[],1,0
2,qju,0,Cue Zero,1002,,,,"[""H DIM=DefaultLink""]",[],[],[],[],[],[],[],1,0
2,qju,0,Cue Zero,1003,,,,"[""H DIM=DefaultLink""]",[],[],[],[],[],[],[],1,0
2,qju,0,Cue Zero,1004,,,,"[""H DIM=DefaultLink""]",[],[],[],[],[],[],[],1,0
2,qju,0,Cue Zero,1005,,,,"[""H DIM=DefaultLink""]",[],[],[],[],[],[],[],1,0
2,qju,0,Cue Zero,1006,,,,"[""H DIM=DefaultLink""]",[],[],[],[],[],[],[],1,0
2,qju,2,lidi,1,HelDGB8S 1,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.001,[],[],[],[],[],[],[],[],0,0
2,qju,2,lidi,2,HelDGB8S 2,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.025,[],[],[],[],[],[],[],[],0,0
2,qju,2,lidi,3,HelDGB8S 3,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.049,[],[],[],[],[],[],[],[],0,0
2,qju,2,lidi,4,HelDGB8S 4,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,1.073,[],[],[],[],[],[],[],[],0,0
2,qju,2,lidi,101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,"[""P0.16 DIM=100.00"", ""P0.16 SHUTTER=18.90"", ""P0.4 DIM=100.00""]","[""P0.16 PAN=5.13"", ""P0.16 TILT=100.63"", ""P0.16 POSITIONMSPEED=0.00"", ""P0.4 PAN=13.50"", ""P0.4 TILT=108.10""]",[],"[""P0.16 COLORMIXER=0.00"", ""P0.16 COLORRGB1=1.52"", ""P0.16 COLORRGB2=29.78"", ""P0.16 COLORRGB3=62.68"", ""P0.16 COLORRGB5=41.03"", ""P0.16 COLORMIXMODE=29.20"", ""P0.4 COLORRGB1=0.98"", ""P0.4 COLORRGB2=34.02"", ""P0.4 COLORRGB3=77.21"", ""P0.4 COLORRGB5=26.50""]","[""P0.16 ZOOM=68.00""]",[],"[""P0.16 LAMPCONTROL=0.00"", ""P0.16 CTC=0.00"", ""P0.16 PIXELEFFECTS=0.00"", ""P0.16 PIXELEFFECTSSPEED=0.00"", ""P0.16 PIXELEFFECTSFADE=0.00""]","[""0.16"", ""0.4""]",0,24
2,qju,2,lidi,102,RSpiide3 2,7 Robin Spiider Mode 3,4.001,"[""P0.16 DIM=100.00"", ""P0.16 SHUTTER=18.90"", ""P0.4 DIM=100.00""]","[""P0.16 PAN=7.83"", ""P0.16 TILT=102.58"", ""P0.16 POSITIONMSPEED=0.00"", ""P0.4 PAN=-13.50"", ""P0.4 TILT=108.10""]",[],"[""P0.16 COLORMIXER=0.00"", ""P0.16 COLORRGB1=1.52"", ""P0.16 COLORRGB2=29.78"", ""P0.16 COLORRGB3=62.68"", ""P0.16 COLORRGB5=41.03"", ""P0.16 COLORMIXMODE=29.20"", ""P0.4 COLORRGB1=0.98"", ""P0.4 COLORRGB2=34.02"", ""P0.4 COLORRGB3=77.21"", ""P0.4 COLORRGB5=26.50""]","[""P0.16 ZOOM=68.00""]",[],"[""P0.16 LAMPCONTROL=0.00"", ""P0.16 CTC=0.00"", ""P0.16 PIXELEFFECTS=0.00"", ""P0.16 PIXELEFFECTSSPEED=0.00"", ""P0.16 PIXELEFFECTSFADE=0.00""]","[""0.16"", ""0.4""]",0,24
2,qju,2,lidi,103,RSpiide3 3,7 Robin Spiider Mode 3,4.067,"[""H DIM=100.00""]","[""P0.4 PAN=-108.00"", ""P0.4 TILT=71.30""]",[],"[""P0.4 COLORRGB1=73.00"", ""P0.4 COLORRGB2=44.04"", ""P0.4 COLORRGB3=0.87"", ""P0.4 COLORRGB5=29.91""]","[""P0.4 ZOOM=87.50""]",[],[],"[""0.4""]",1,7
2,qju,2,lidi,104,RSpiide3 4,7 Robin Spiider Mode 3,4.100,"[""H DIM=100.00""]","[""P0.4 PAN=-45.90"", ""P0.4 TILT=57.50""]",[],"[""P0.4 COLORRGB1=73.00"", ""P0.4 COLORRGB2=44.04"", ""P0.4 COLORRGB3=0.87"", ""P0.4 COLORRGB5=29.91""]","[""P0.4 ZOOM=100.00""]",[],[],"[""0.4""]",1,7
2,qju,2,lidi,105,RSpiide3 5,7 Robin Spiider Mode 3,4.133,"[""H DIM=100.00""]","[""P0.4 PAN=43.20"", ""P0.4 TILT=57.50""]",[],"[""P0.4 COLORRGB1=73.00"", ""P0.4 COLORRGB2=44.04"", ""P0.4 COLORRGB3=0.87"", ""P0.4 COLORRGB5=29.91""]","[""P0.4 ZOOM=100.00""]",[],[],"[""0.4""]",1,7
2,qju,2,lidi,106,RSpiide3 6,7 Robin Spiider Mode 3,4.166,"[""H DIM=100.00""]","[""P0.4 PAN=105.30"", ""P0.4 TILT=71.30""]",[],"[""P0.4 COLORRGB1=73.00"", ""P0.4 COLORRGB2=44.04"", ""P0.4 COLORRGB3=0.87"", ""P0.4 COLORRGB5=29.91""]","[""P0.4 ZOOM=87.50""]",[],[],"[""0.4""]",1,7
2,qju,2,lidi,107,RSpiide3 7,7 Robin Spiider Mode 3,4.271,"[""H DIM=100.00""]","[""P0.4 PAN=79.92"", ""P0.4 TILT=-62.10""]",[],"[""P0.4 COLORMIXER=0.00"", ""P0.4 COLORRGB1=71.58"", ""P0.4 COLORRGB2=43.02"", ""P0.4 COLORRGB3=0.45"", ""P0.4 COLORRGB5=29.91"", ""P0.4 COLORMIXMODE=29.20""]","[""H ZOOM=79.50""]",[],"[""P0.4 CTC=0.00""]","[""0.4""]",2,9
2,qju,2,lidi,108,RSpiide3 8,7 Robin Spiider Mode 3,4.304,"[""H DIM=100.00""]","[""P0.4 PAN=-79.92"", ""P0.4 TILT=-62.10""]",[],"[""P0.4 COLORMIXER=0.00"", ""P0.4 COLORRGB1=71.58"", ""P0.4 COLORRGB2=43.02"", ""P0.4 COLORRGB3=0.45"", ""P0.4 COLORRGB5=29.91"", ""P0.4 COLORMIXMODE=29.20""]","[""H ZOOM=79.50""]",[],"[""P0.4 CTC=0.00""]","[""0.4""]",2,9
