preset_number,preset_type,preset_xml_index,preset_name,fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,value_type,reference_target,source_file
0.21,0,20,350 nad lidi,51,RLB350M1 11,12 Robin LEDBeam 350 Mode 1,5.089,COLORRGB3,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,51,RLB350M1 11,12 Robin LEDBeam 350 Mode 1,5.089,COLORRGB5,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,51,RLB350M1 11,12 Robin LEDBeam 350 Mode 1,5.089,COLORTEMPERATURE,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,51,RLB350M1 11,12 Robin LEDBeam 350 Mode 1,5.089,COLORMODE2,17.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,51,RLB350M1 11,12 Robin LEDBeam 350 Mode 1,5.089,ZOOM,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,51,RLB350M1 11,12 Robin LEDBeam 350 Mode 1,5.089,SHUTTER,18.95,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,52,RLB350M1 12,12 Robin LEDBeam 350 Mode 1,5.111,DIM,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,52,RLB350M1 12,12 Robin LEDBeam 350 Mode 1,5.111,PAN,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,52,RLB350M1 12,12 Robin LEDBeam 350 Mode 1,5.111,TILT,88.92,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,52,RLB350M1 12,12 Robin LEDBeam 350 Mode 1,5.111,POSITIONMSPEED,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,52,RLB350M1 12,12 Robin LEDBeam 350 Mode 1,5.111,FIXTUREGLOBALRESET,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,52,RLB350M1 12,12 Robin LEDBeam 350 Mode 1,5.111,COLORMIXER,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,52,RLB350M1 12,12 Robin LEDBeam 350 Mode 1,5.111,COLORRGB1,30.77,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,52,RLB350M1 12,12 Robin LEDBeam 350 Mode 1,5.111,COLORRGB2,50.70,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,52,RLB350M1 12,12 Robin LEDBeam 350 Mode 1,5.111,COLORRGB3,100.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,52,RLB350M1 12,12 Robin LEDBeam 350 Mode 1,5.111,COLORRGB5,0.00,hard,,exports\Studio54_preset_0.xml
0.21,0,20,350 nad lidi,52,RLB350M1 12,12 Robin LEDBeam 350 Mode 1,5.111,COLORTEMPERATURE,0.00,hard,,exports\Studio54_preset_0.xml
