fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,cue_count,sequence_count,cue_list_preview,details
28,HelDGB8S 28,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.169,COLORRGB3,0.00,4,3,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 4.1 Cue 1 | 5.1 Cue 1,repeated hard value candidate for preset cleanup
29,HelDGB8S 29,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.193,COLORRGB1,100.00,4,2,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 2.55 Groteska boj o zradlo - Velikeho racka | 4.1 Cue 1,repeated hard value candidate for preset cleanup
29,HelDGB8S 29,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.193,COLORRGB2,100.00,4,2,2.30.5 Soud - zelena- - bici hudba | 2.31 Soud - proces-Na-schody | 2.55 Groteska boj o zradlo - Velikeho racka | 5.1 Cue 1,repeated hard value candidate for preset cleanup
29,HelDGB8S 29,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.193,COLORRGB3,0.00,4,3,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 4.1 Cue 1 | 5.1 Cue 1,repeated hard value candidate for preset cleanup
29,HelDGB8S 29,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.193,DIM,0.00,4,1,2.16 Boj o zradlo - Na Housle 2:12 | 2.35 zustava sam LET- GESTO | 2.55 Groteska boj o zradlo - Velikeho racka | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
30,HelDGB8S 30,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.217,COLORRGB1,100.00,4,2,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 2.55 Groteska boj o zradlo - Velikeho racka | 4.1 Cue 1,repeated hard value candidate for preset cleanup
30,HelDGB8S 30,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.217,COLORRGB3,0.00,4,3,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 4.1 Cue 1 | 5.1 Cue 1,repeated hard value candidate for preset cleanup
31,HelDGB8S 31,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.241,COLORRGB1,100.00,4,2,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 2.55 Groteska boj o zradlo - Velikeho racka | 4.1 Cue 1,repeated hard value candidate for preset cleanup
31,HelDGB8S 31,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.241,COLORRGB3,0.00,4,3,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 4.1 Cue 1 | 5.1 Cue 1,repeated hard value candidate for preset cleanup
32,HelDGB8S 32,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.265,COLORRGB1,100.00,4,2,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 2.55 Groteska boj o zradlo - Velikeho racka | 4.1 Cue 1,repeated hard value candidate for preset cleanup
32,HelDGB8S 32,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.265,COLORRGB3,0.00,4,3,2.9 Racek astery 2:32 | 2.25 Vilda odchazi | 4.1 Cue 1 | 5.1 Cue 1,repeated hard value candidate for preset cleanup
37,HelDGB8S 37,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.385,DIM,0.00,4,1,2.41 Jdou k nemu do rohu - Pouze astery | 2.42 W.spot pryc | 2.43 Zhasnuti astery..Odkuleni c.9 | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
